file_name,source_path,latest_run_id,equipment_class_id,alternatives,reason
【麦克维尔】MACD模块机组故障分析与排除技术手册（31页）-.pdf,/Volumes/TSD302/pan/a00238/06、麦克维尔/技术手册/【麦克维尔】MACD模块机组故障分析与排除技术手册（31页）-.pdf,20260507T173624Z_hvac_doclevel_extraction_batch,air_cooled_modular_heat_pump,modular_chiller,has_alternatives
【格力】中央空调 MB 系列模块式风冷冷（热）水机组手册-.pdf,/Volumes/TSD302/pan/a00238/02、格力/技术手册/【格力】中央空调 MB 系列模块式风冷冷（热）水机组手册-.pdf,20260507T185426Z_hvac_doclevel_extraction_batch,chiller,cooling_tower|air_cooled_modular_heat_pump|modular_chiller,has_alternatives
【国祥】模块机控制器规格书.pdf,/Volumes/TSD302/pan/a00238/21、国祥/【国祥】模块机控制器规格书.pdf,20260507T185426Z_hvac_doclevel_extraction_batch,chilled_water_pump,air_cooled_modular_heat_pump|modular_chiller,has_alternatives
【格力】模块风冷冷水机组控制系统手册-.pdf,/Volumes/TSD302/pan/a00238/02、格力/技术手册/【格力】模块风冷冷水机组控制系统手册-.pdf,20260507T185426Z_hvac_doclevel_extraction_batch,chiller,air_cooled_modular_heat_pump|modular_chiller,has_alternatives
【天加 】风冷净化空调机组安装操作手册.pdf,/Volumes/TSD302/pan/a00238/13、天加中央空调/【天加 】风冷净化空调机组安装操作手册.pdf,20260507T200220Z_hvac_doclevel_extraction_batch,chilled_water_pump,chiller,has_alternatives
【约克】风冷冷水机组YCAC，YMAC，YSAC通用控制器使用手册3.0.pdf,/Volumes/TSD302/pan/a00238/04、约克中央空调/约克技术手册/【约克】风冷冷水机组YCAC，YMAC，YSAC通用控制器使用手册3.0.pdf,20260507T200220Z_hvac_doclevel_extraction_batch,valve,chiller,has_alternatives
【开利】30AQ开利风冷式热泵机组（28页）-制冷百家网.pdf,/Volumes/TSD302/pan/a00238/03、开利中央空调/技术手册/【开利】30AQ开利风冷式热泵机组（28页）-制冷百家网.pdf,20260507T200558Z_hvac_doclevel_extraction_batch,chiller,pump,has_alternatives
【开利】中央空调30AQ风冷式热泵机组安装维修手册（28页）-制冷百家网.pdf,/Volumes/TSD302/pan/a00238/03、开利中央空调/技术手册/【开利】中央空调30AQ风冷式热泵机组安装维修手册（28页）-制冷百家网.pdf,20260507T200558Z_hvac_doclevel_extraction_batch,chiller,pump,has_alternatives
【海尔】LSQWRF130C-318C风冷涡旋机组维修手册（28页）-制冷百家网.pdf,/Volumes/TSD302/pan/a00238/08、海尔中央空调/海尔技术手册/【海尔】LSQWRF130C-318C风冷涡旋机组维修手册（28页）-制冷百家网.pdf,20260507T200558Z_hvac_doclevel_extraction_batch,chiller,air_cooled_modular_heat_pump|modular_chiller,has_alternatives
【海尔】LSQ系列风冷涡旋机组维修手册（32页）-制冷百家网.pdf,/Volumes/TSD302/pan/a00238/08、海尔中央空调/海尔技术手册/【海尔】LSQ系列风冷涡旋机组维修手册（32页）-制冷百家网.pdf,20260507T200945Z_hvac_doclevel_extraction_batch,chiller,air_cooled_modular_heat_pump|modular_chiller,has_alternatives
