doc_id,file_name,matched,matched_by,fields_filled
doc_c019162f43d44d06,ASHRAE 211能源审计最佳实践.pdf,yes,sha256,"text_quality,page_count,sample_text_chars_first_3_pages,inventory_source_path"
doc_a5de4244eeda4637,ASHRAE手册 - HVAC系统和设备篇.pdf,yes,file_name,"text_quality,page_count,sample_text_chars_first_3_pages,inventory_source_path"
,ASHRAE手册 - HVAC系统和设备篇_part001.pdf,no,,
,ASHRAE手册 - HVAC系统和设备篇_part002.pdf,no,,
doc_2a7ec347e5f44d9e,ASHRAE手册 - 基础理论篇.pdf,yes,file_name,"text_quality,page_count,sample_text_chars_first_3_pages,inventory_source_path"
,ASHRAE手册 - 基础理论篇_part001.pdf,no,,
,ASHRAE手册 - 基础理论篇_part002.pdf,no,,
,ASHRAE手册 - 基础理论篇_part003.pdf,no,,
,ASHRAE手册 - 基础理论篇_part004.pdf,no,,
,ASHRAE手册 - 基础理论篇_part005.pdf,no,,
doc_90583657120442bb,ASHRAE手册2019.pdf,yes,file_name,"text_quality,sample_text_chars_first_3_pages,inventory_source_path"
,ASHRAE手册2019_part001.pdf,no,,
,ASHRAE手册2019_part002.pdf,no,,
,ASHRAE手册2019_part003.pdf,no,,
,ASHRAE手册2019_part004.pdf,no,,
doc_4a9b0fec1dfb4103,ASHRAE手册2024.pdf,yes,file_name,"text_quality,page_count,sample_text_chars_first_3_pages,inventory_source_path"
,ASHRAE手册2024_part001.pdf,no,,
,ASHRAE手册2024_part002.pdf,no,,
,ASHRAE手册2024_part003.pdf,no,,
,ASHRAE手册2024_part004.pdf,no,,
doc_38a89d59e8394e2d,ASHRAE绿色建筑指南.pdf,yes,file_name,"text_quality,page_count,sample_text_chars_first_3_pages,inventory_source_path"
,HVAC控制简介.pdf,no,,
,HVAC操作员课程补充材料.pdf,no,,
,HVAC系统分析和能源审计.pdf,no,,
,HVAC系统培训总结.pdf,no,,
,HVAC系统基础知识.pdf,no,,
doc_hvac_efficiency_maintenance_authority,HVAC系统效率和维护最佳实践.pdf,yes,file_name,"text_quality,page_count,sample_text_chars_first_3_pages,inventory_source_path"
doc_ashrae_guideline_36_authority,HVAC系统高性能运行序列指南.pdf,yes,file_name,"text_quality,page_count,sample_text_chars_first_3_pages,inventory_source_path"
,HVAC负荷计算.pdf,no,,
,HVAC配电系统设计.pdf,no,,
,Jan Hensen - 建筑环境模拟.pdf,no,,
,供暖通风和空调系统.pdf,no,,
,供水系统设计基础.pdf,no,,
,供水系统设计基础_part001.pdf,no,,
,供水系统设计基础_part002.pdf,no,,
,建筑性能模拟设计和操作.pdf,no,,
,建筑性能模拟设计和操作_part001.pdf,no,,
,建筑性能模拟设计和操作_part002.pdf,no,,
,建筑性能模拟设计和操作_part003.pdf,no,,
,建筑性能模拟设计和操作_part004.pdf,no,,
,暖通空调基础知识.pdf,no,,
,楼宇自动化系统和冷水机组管理.pdf,no,,
doc_06f8fa1cac644fe2,空调 系统 设计 手册 Ashrae 特别 出版物.pdf,yes,file_name,"text_quality,page_count,sample_text_chars_first_3_pages,inventory_source_path"
,蒸汽压缩循环原理.pdf,no,,
,2008版大金空调案例排除手册.docx,no,,
,VRV3实用维修技术.ppt,no,,
,大金 VRV 根据故障代码（排除故障方法）.pdf,no,,
,大金CMS中央空调 RZP系列的故障代码.txt,no,,
,大金FVY125空调参数.doc,no,,
,大金RY-71、125柜式空调维修故障代码.doc,no,,
,大金VRV3#CMS实用维修技术.ppt,no,,
,大金VRV410a变频多联机开机调试流程43页.ppt,no,,
,大金VRVR410a系列调试流程+故障代码43页.ppt,no,,
,大金VRVⅢ安装调试维修培训教材.ppt,no,,
,大金VRVⅢ安装调试维修培训教材139页.ppt,no,,
,大金VRV中央空调维修知识.doc,no,,
,大金VRV中央空调维修资料.doc,no,,
,大金VRV和中央空调水系统比较.ppt,no,,
,大金VRV空调故障排除案例.ppt,no,,
,大金VRV综合设计方案讲座.ppt,no,,
,大金i系列单螺杆冷水机组新产品介绍51页.ppt,no,,
,大金冷水机维修培训资料（113页）.pdf,no,,
,大金冷水机维修资料.doc,no,,
,大金压缩机组维修资料.doc,no,,
,大金家用中央空调总目录电子样本.pdf,no,,
,大金家用变频空调系列故障代码.docx,no,,
,大金故障案例排除99页.ppt,no,,
,大金故障诊断与检修.pdf,no,,
,大金故障诊断与检修培训.pdf,no,,
,大金空调三管制VRV安装-调试35页.pdf,no,,
,大金空调三管制详解培训.pdf,no,,
,大金空调三管制配管原则.pdf,no,,
,大金空调使用手册.docx,no,,
,大金空调故障判断与检修方法-54页.pdf,no,,
,大金空调新冷媒机种说明.ppt,no,,
,大金空调案例排除手册2008版77页.docx,no,,
,大金自控IMANGER2培训课程.ppt,no,,
,大金调试流程+故障代码.ppt,no,,
,【大金 】VRV3 CMS 多联机实用维修技术（175页）制冷百家网.pdf,no,,
,【大金 】大金VRV D系列多联机技术手册制冷百家网.pdf,no,,
,【大金 】大金VRV X系列多联机技术手册制冷百家网.pdf,no,,
,【大金 】大金VRVⅢ安装调试维修培训（139页）制冷百家网.pdf,no,,
,【大金 】大金多联机计费系统iManager操作手册制冷百家网.pdf,no,,
,【大金】  VRV变频控制系统空调机安装手册（合订本）（233页）制冷百家网.pdf,no,,
,【大金】 EMAX25_35_50家用机 技术资料 （86页）制冷百家网.pdf,no,,
,【大金】 EMAX_FVY家用柜机机 技术资料（96页）制冷百家网.pdf,no,,
,【大金】 VRV设备选型用数据手册（302页）制冷百家网.pdf,no,,
,【大金】 家用 iLife 系列VRV系统 技术资料（180页）制冷百家网.pdf,no,,
,【大金】CUW、ZUW系列水冷机组维修资料制冷百家网.pdf,no,,
,【大金】CUW单螺杆水冷机维修手册（196页）制冷百家网.pdf,no,,
,【大金】EEHS系列冷暖技术手册制冷百家网.pdf,no,,
,【大金】HRV全热交换器使用说明书制冷百家网.pdf,no,,
,【大金】RHXY、RCXY系列VRV3使用说明书制冷百家网.pdf,no,,
,【大金】RHXY、RCXY系列VRV3安装说明书制冷百家网.pdf,no,,
,【大金】RXY系列冷暖型VRV3维修技术手册（370页）制冷百家网.pdf,no,,
,【大金】RXY系列冷暖型空调机维修手册（375页）.pdf,no,,
,【大金】R系列空调技术维修手册制冷百家网.pdf,no,,
doc_56b94dfc2a904767,【大金】UWY风冷冷水机组使用说明书（61页）制冷百家网.pdf,yes,file_name,"text_quality,page_count,sample_text_chars_first_3_pages,inventory_source_path"
,【大金】VRV A系列智能化中央空调系统样本.pdf,no,,
,【大金】VRV X全直流变频多联机样本.pdf,no,,
,【大金】VRV X多联机技术手册（80页）.pdf,no,,
,【大金】VRV-Q 系列多联机维修手册（208页）制冷百家网.pdf,no,,
,【大金】VRV3 R410A冷暖型空调机维修手册（375页）.pdf,no,,
,【大金】VRVQ多联机技术手册（48页）制冷百家网.pdf,no,,
,【大金】VRVⅢ-全变频 维修技术手册（248页）制冷百家网.pdf,no,,
,【大金】VRV无线遥控器使用说明书制冷百家网.pdf,no,,
,【大金】VRV自由冷暖变频空调技术手册（39页）制冷百家网.pdf,no,,
,【大金】二级压缩VRV样本手册制冷百家网.pdf,no,,
,【大金】全新三管制VRV系列技术手册制冷百家网.pdf,no,,
,【大金】分体式商用 FDY8-20HP 系列技术手册（133页）制冷百家网.pdf,no,,
,【大金】分体式商用 FVY8-20HP 技术手册（116页）制冷百家网.pdf,no,,
,【大金】分体式商用直流变速FCY FBY FVY 技术资料 （114页）制冷百家网.pdf,no,,
,【大金】压缩机维修手册（141页）制冷百家网.pdf,no,,
,【大金】同时运转多联机系统技术资料 （38页）制冷百家网.pdf,no,,
,【大金】多功能VRV样册制冷百家网.pdf,no,,
,【大金】多功能VRV样本手册制冷百家网.pdf,no,,
,【大金】控制产品知识手册（44页）制冷百家网.pdf,no,,
,【大金】水源热泵VRV技术样本手册制冷百家网.pdf,no,,
doc_b781786e2cb74c74,【大金】空调故障代码一览表（2012版本）制冷百家网.pdf,yes,file_name,"text_quality,page_count,sample_text_chars_first_3_pages,inventory_source_path"
,2016年格力中央空调各系列最新价格表.docx,no,,
,四川格力售后公司空气能热水机技术通知(1).doc,no,,
,家用直流变频空调维修.ppt,no,,
,最新格力中央空调产品故障显示代码表.doc,no,,
,格力2012年商用空调维修故障代码及原因.doc,no,,
,格力GMV5安装调试部分--调试部分104页.pdf,no,,
,格力中央空调GMV5多联机组室内机.ppt,no,,
,格力中央空调产品故障显示代码表.doc,no,,
,格力中央空调变频多联系统机报价单.docx,no,,
,格力中央空调工程设计安装规范(多联机组).ppt,no,,
,格力中央空调工程设计安装规范(多联机组)20121112-1.ppt,no,,
,格力中央空调报价表(1).xls,no,,
,格力中央空调方案书.doc,no,,
,格力中央空调维修清洗步骤.doc,no,,
,格力变频空调产品培训知识.ppt,no,,
,格力变频空调售后技术培训资料.ppt,no,,
,格力变频空调维修专用手册(内部用).pdf,no,,
,格力变频空调维修技术培训手册.pdf,no,,
,格力变频空调维修指南.ppt,no,,
,格力多联机安装培训.ppt,no,,
,格力家用中央空调H系列多联机维修指导.pdf,no,,
,格力家用中央空调内部培训资料.pdf,no,,
,格力家用空调维修技术.pdf,no,,
,格力直流变频控制原理104页.pdf,no,,
,格力离心式冷水机组技术服务手册.pdf,no,,
,格力空调故障代码.doc,no,,
,格力空调故障代码及维修解决方案大全.doc,no,,
,格力空调故障代码集.doc,no,,
,格力空调系列变频机维修指引与故障检测故障代码表.doc,no,,
,空调维修教程.doc,no,,
,风管机设计选型(格力).ppt,no,,
doc_99fc08961aa540f4,【格力】C系列离心式冷水机组技术手册（69页）-.pdf,yes,file_name,"text_quality,page_count,sample_text_chars_first_3_pages,inventory_source_path"
doc_dcf25b0eb7fc4c75,【格力】C系列离心式冷水机组技术服务手册（69页）-.pdf,yes,file_name,"text_quality,page_count,sample_text_chars_first_3_pages,inventory_source_path"
,【格力】GMV5、GMV5S直流变频多联机组安装·调试·维修手册（167页）-制冷百家网.pdf,no,,
,【格力】GMV5直流变频多联机技术手册（518页）-.pdf,no,,
,【格力】GMV多联机安装与维修手册-.pdf,no,,
